TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.15;0.245;right;True;True;1.125899;-10.55915;1.573347;98.9231;4cpd;99.47634;right;none;none;
1;0.245;0.4;right;True;True;1.290126;-10.68545;-0.757895;98.91103;2cpd;99.49493;right;none;none;
2;0.245;0.4;right;True;True;1.215408;-6.720566;-0.9202356;99.28953;2cpd;99.5285;right;none;none;
3;0.245;0.1916829;left;True;True;1.110873;-12.55276;1.017401;98.7328;4cpd;99.51871;right;none;none;
4;0.1916829;0.245;right;True;True;1.277309;-11.01189;-0.7084875;98.87987;2cpd;99.49323;right;none;none;
5;0.245;0.4;left;True;True;1.149877;-10.52785;-0.4527593;98.92609;2cpd;99.48952;right;none;none;
6;0.245;0.1916829;right;True;False;0;0;0;0;4cpd;0;none;none;none;
7;0.4;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
8;0.4;0.245;right;True;True;1.07383;-9.656013;-0.8797464;99.0093;2cpd;99.48786;right;none;none;
9;0.245;0.4;right;True;True;1.182698;-7.550606;0.4870453;99.21027;4cpd;99.50815;right;orientationQuestion;right;
10;0.245;0.3130169;left;True;True;1.191784;-5.920845;-0.5545149;99.36585;2cpd;99.5586;right;none;none;
11;0.245;0.15;left;True;False;0;0;0;0;4cpd;0;none;none;none;
12;0.245;0.1916829;right;True;True;1.273703;-12.1129;-0.1985748;98.77478;4cpd;99.51606;right;none;none;
13;0.1916829;0.245;left;True;True;1.202962;-8.453743;1.573273;99.12407;4cpd;99.48514;right;none;none;
14;0.245;0.1916829;right;True;True;1.010565;-8.768089;0.7282228;99.09406;4cpd;99.47795;left;none;none;
15;0.15;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
16;0.245;0.4;left;True;False;0;0;0;0;4cpd;0;none;none;none;
