TRIAL_ID;LEFT_STIMULUS_CONTRAST;RIGHT_STIMULUS_CONTRAST;LEFT_STIMULUS_ORIENTATION;MOVED;TARGET_SHOWN;AVG_HAND_VEL;LEFT_STIMULUS_X;LEFT_STIMULUS_Y;LEFT_STIMULUS_Z;CPD;LEFT_STIMUL_DIST_TO_FACE;WHAT_SIDE_WAS_MORE_CONTRASTY;QUESTION_2_ASKED;QUESTION_2_ANS
0;0.15;0.245;right;True;True;0.6197285;-13.77174;-0.0584023;98.61644;2cpd;99.55431;right;none;none;
1;0.1916829;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
2;0.3130169;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
3;0.245;0.244949;right;True;False;0;0;0;0;2cpd;0;none;none;none;
4;0.245;0.1916829;right;True;True;0.4639724;-5.233955;0.8332152;99.43143;2cpd;99.54762;left;none;none;
5;0.15;0.245;right;True;True;0.3996159;-8.322121;-1.220846;99.13664;4cpd;99.48696;left;none;none;
6;0.245;0.4;right;True;True;0.4524677;-10.53896;-1.390375;98.92503;2cpd;99.4911;right;none;none;
7;0.245;0.3130169;left;True;True;0.4132635;-13.03577;-1.379372;98.68668;4cpd;99.5485;right;orientationQuestion;right;
8;0.245;0.244949;left;True;True;0.3736184;-12.06271;-0.4596989;98.77957;4cpd;99.49957;left;orientationQuestion;right;
9;0.1916829;0.245;right;True;True;0.4998412;-11.82061;-1.383873;98.8027;4cpd;99.51048;left;none;none;
10;0.245;0.1916829;right;True;True;0.5198111;-13.01563;-0.3699522;98.68861;2cpd;99.5263;left;orientationQuestion;left;
11;0.245;0.1916829;left;True;True;0.4702384;-11.97533;-1.379291;98.78791;2cpd;99.51087;left;none;none;
12;0.245;0.4;left;True;True;0.493094;-10.82378;-1.360898;98.89783;4cpd;99.48939;right;none;none;
13;0.245;0.3130169;left;True;True;0.4461329;-5.364716;-0.7277756;99.41896;4cpd;99.55306;left;orientationQuestion;left;
14;0.4;0.245;left;True;True;0.5127488;-6.661224;-0.91787;99.29518;2cpd;99.51138;left;orientationQuestion;left;
15;0.245;0.3130169;left;True;False;0;0;0;0;4cpd;0;none;none;none;
16;0.4;0.245;left;True;True;0.3859352;-8.096878;-0.5817556;99.15813;2cpd;99.4763;left;orientationQuestion;left;
17;0.245;0.3130169;right;True;True;0.3618823;-7.720146;-1.114809;99.19408;2cpd;99.4944;right;orientationQuestion;left;
18;0.245;0.3130169;left;True;True;0.5251342;-6.791756;-1.388409;99.28272;4cpd;99.52254;left;none;none;
19;0.4;0.245;left;True;True;0.3753375;-11.16803;-1.487859;98.86497;2cpd;99.50346;left;none;none;
20;0.245;0.4;right;True;True;0.5416029;-7.24958;-1.083191;99.23902;2cpd;99.50452;right;none;none;
21;0.3130169;0.245;left;True;True;0.3781389;-9.824341;-0.7388954;98.99324;2cpd;99.47089;left;none;none;
22;0.245;0.1916829;right;True;True;0.4382725;-11.77657;-0.3329132;98.80689;2cpd;99.49286;right;none;none;
23;0.1916829;0.245;right;True;True;0.4430186;-8.644257;-0.3071508;99.10589;2cpd;99.46713;right;orientationQuestion;left;
24;0.3130169;0.245;left;True;True;0.4467593;-10.73409;-0.909687;98.9064;4cpd;99.48217;left;none;none;
25;0.4;0.245;left;True;True;0.5458728;-9.882324;-0.7497597;98.9877;2cpd;99.47191;left;orientationQuestion;left;
26;0.15;0.245;right;True;True;0.3987747;-7.781471;-0.5806146;99.18825;4cpd;99.48167;right;orientationQuestion;left;
27;0.245;0.1916829;right;True;True;0.5270896;-12.04269;-0.2845597;98.78149;2cpd;99.49754;left;none;none;
28;0.1916829;0.245;right;True;True;0.4589748;-8.420776;-1.27742;99.12722;2cpd;99.4832;right;none;none;
29;0.245;0.4;right;True;True;0.3243379;-8.847519;-0.6714511;99.0865;2cpd;99.47052;right;orientationQuestion;left;
30;0.245;0.244949;left;True;True;0.3698202;-8.749794;-0.9166174;99.09583;2cpd;99.47754;left;none;none;
31;0.1916829;0.245;left;True;True;0.3533598;-9.619392;-1.001288;99.01281;2cpd;99.47875;left;none;none;
32;0.3130169;0.245;right;True;True;0.3530411;-12.29588;-1.416999;98.75731;2cpd;99.52441;left;none;none;
33;0.244949;0.245;left;True;True;0.3539439;-9.901634;-0.7825699;98.98586;4cpd;99.47161;right;none;none;
34;0.245;0.3130169;right;True;True;0.3787645;-13.24622;-1.411617;98.66662;4cpd;99.5552;right;orientationQuestion;left;
35;0.245;0.3130169;right;True;True;0.4415873;-11.56858;-0.8577003;98.82673;4cpd;99.48954;left;none;none;
36;0.3130169;0.245;left;True;True;0.4238313;-7.074326;-0.2363744;99.25576;4cpd;99.48984;left;none;none;
37;0.15;0.245;left;True;True;0.5192131;-9.634056;-0.40275;99.0114;4cpd;99.46096;left;none;none;
38;0.244949;0.245;right;True;True;0.3781199;-9.245819;-0.6802511;99.04848;4cpd;99.46777;right;none;none;
39;0.245;0.15;right;True;True;0.4307608;-6.818718;-1.095701;99.28014;2cpd;99.51176;left;orientationQuestion;right;
40;0.245;0.244949;left;True;False;0;0;0;0;2cpd;0;none;none;none;
41;0.4;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
42;0.245;0.1916829;left;True;True;0.4309421;-8.012383;-0.4998312;99.16619;2cpd;99.4764;left;orientationQuestion;left;
43;0.245;0.3130169;left;True;True;0.4342573;-9.441338;-0.3350244;99.0298;2cpd;99.46394;right;orientationQuestion;right;
44;0.4;0.245;left;True;True;0.5485004;-12.13506;-0.4240708;98.77267;2cpd;99.50163;left;none;none;
45;0.3130169;0.245;left;True;True;0.4304405;-10.81316;-0.8219209;98.89885;2cpd;99.48061;left;none;none;
46;0.245;0.4;left;True;True;0.5066501;-11.93646;-0.522727;98.79163;2cpd;99.49358;right;none;none;
47;0.3130169;0.245;left;True;True;0.3477135;-6.249969;-0.8550119;99.33443;4cpd;99.52229;left;none;none;
48;0.245;0.15;left;True;True;0.4240125;-10.25299;-0.8514805;98.95231;2cpd;99.47122;left;none;none;
49;0.1916829;0.245;left;True;True;0.3633226;-6.338074;-0.5291338;99.32602;4cpd;99.51222;right;none;none;
50;0.4;0.245;left;True;True;0.3686239;-6.189201;-1.364965;99.34024;4cpd;99.53582;left;orientationQuestion;left;
51;0.245;0.4;right;True;True;0.463799;-8.535202;-1.213824;99.11632;2cpd;99.48013;right;none;none;
52;0.245;0.244949;right;True;True;0.4014499;-7.211998;-0.8611212;99.24261;2cpd;99.49561;left;orientationQuestion;right;
53;0.245;0.1916829;right;True;True;0.3627948;-8.264526;-1.367057;99.14214;4cpd;99.48694;left;orientationQuestion;right;
54;0.15;0.245;right;True;True;0.5108923;-11.66309;-1.192725;98.81773;2cpd;99.4969;right;none;none;
55;0.15;0.245;left;True;True;0.365766;-9.211258;-1.41284;99.05176;2cpd;99.48267;left;none;none;
56;0.15;0.245;left;True;True;0.4223562;-6.303719;-1.392072;99.32932;2cpd;99.53188;left;orientationQuestion;left;
57;0.245;0.244949;left;True;False;0;0;0;0;2cpd;0;none;none;none;
58;0.4;0.245;left;True;True;0.4755063;-11.43059;-0.9913125;98.83993;4cpd;99.49526;left;none;none;
59;0.245;0.1916829;left;True;False;0;0;0;0;2cpd;0;none;none;none;
60;0.245;0.244949;right;True;True;0.420079;-12.94651;-0.6667013;98.69522;4cpd;99.52905;right;none;none;
61;0.245;0.15;left;True;True;0.4533162;-13.18075;-0.5252104;98.67286;4cpd;99.53436;left;orientationQuestion;right;
62;0.4;0.245;left;True;True;0.441536;-13.66232;-0.8851514;98.62688;2cpd;99.55815;left;none;none;
63;0.15;0.245;left;True;True;0.3350107;-12.28542;-1.467908;98.75832;4cpd;99.51781;right;none;none;
64;0.245;0.4;left;True;True;0.4253518;-13.80342;-0.4966252;98.61341;2cpd;99.55803;right;none;none;
65;0.15;0.245;right;True;True;0.4006614;-11.41368;-0.6362405;98.84154;2cpd;99.48045;right;none;none;
66;0.245;0.3130169;right;True;True;0.3941771;-9.394279;-1.42884;99.03429;2cpd;99.48298;left;orientationQuestion;right;
67;0.3130169;0.245;left;True;True;0.4193997;-12.88383;-1.368315;98.70119;2cpd;99.53878;left;none;none;
68;0.245;0.4;left;True;True;0.3006896;-10.46437;-0.6662841;98.93214;4cpd;99.47268;right;none;none;
69;0.245;0.244949;right;True;False;0;0;0;0;4cpd;0;none;none;none;
70;0.3130169;0.245;left;True;True;0.4016432;-10.20134;-1.237048;98.95727;2cpd;99.47926;left;none;none;
71;0.1916829;0.245;right;True;True;0.3622573;-13.8194;-1.205619;98.61188;4cpd;99.57213;right;orientationQuestion;left;
72;0.245;0.244949;right;True;True;0.3870709;-13.32027;-1.22443;98.65954;4cpd;99.55167;left;orientationQuestion;right;
73;0.245;0.244949;left;True;True;0.417729;-11.44564;-0.6489668;98.83847;2cpd;99.48486;left;none;none;
74;0.4;0.245;right;True;True;0.3453174;-12.96548;-1.092041;98.6934;4cpd;99.534;left;none;none;
75;0.244949;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
76;0.245;0.244949;left;True;True;0.4074537;-8.815117;-1.127951;99.08958;2cpd;99.47495;left;none;none;
77;0.244949;0.245;right;True;True;0.3646397;-10.13184;-1.342812;98.96389;4cpd;99.4835;right;none;none;
78;0.245;0.4;left;True;False;0;0;0;0;2cpd;0;none;none;none;
79;0.245;0.3130169;right;True;False;0;0;0;0;4cpd;0;none;none;none;
80;0.15;0.245;right;True;True;0.4192024;-11.47728;-1.360699;98.83546;2cpd;99.5017;right;none;none;
81;0.245;0.244949;right;True;False;0;0;0;0;2cpd;0;none;none;none;
82;0.4;0.245;left;True;True;0.4104477;-11.95708;-0.6480112;98.78965;4cpd;99.50122;left;none;none;
83;0.245;0.4;right;False;False;0;0;0;0;4cpd;0;none;none;none;
84;0.1916829;0.245;left;True;True;0.3282426;-13.25431;-0.828969;98.66582;4cpd;99.54469;left;none;none;
85;0.15;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
86;0.245;0.3130169;right;True;True;0.3731713;-9.186546;-1.072087;99.05413;4cpd;99.47802;right;none;none;
87;0.3130169;0.245;left;True;True;0.3088934;-12.47211;-0.3768537;98.7405;4cpd;99.51234;left;none;none;
88;0.4;0.245;left;True;False;0;0;0;0;4cpd;0;none;none;none;
89;0.245;0.244949;left;True;False;0;0;0;0;4cpd;0;none;none;none;
90;0.244949;0.245;right;True;False;0;0;0;0;2cpd;0;none;none;none;
91;0.15;0.245;left;True;True;0.373858;-11.73402;-1.252617;98.81096;4cpd;99.50756;right;orientationQuestion;right;
92;0.245;0.1916829;left;True;False;0;0;0;0;2cpd;0;none;none;none;
93;0.245;0.4;left;True;False;0;0;0;0;4cpd;0;none;none;none;
94;0.245;0.3130169;left;True;False;0;0;0;0;4cpd;0;none;none;none;
95;0.3130169;0.245;right;True;False;0;0;0;0;4cpd;0;none;none;none;
96;0.245;0.244949;left;True;False;0;0;0;0;2cpd;0;none;none;none;
97;0.3130169;0.245;right;True;True;0.3938667;-5.365135;-1.132525;99.41891;4cpd;99.566;left;none;none;
98;0.245;0.1916829;left;True;True;0.3620687;-8.488411;-1.147248;99.12076;4cpd;99.48497;left;none;none;
99;0.244949;0.245;left;True;True;0.2931918;-11.7421;-1.123189;98.81017;2cpd;99.50571;left;none;none;
100;0.245;0.244949;left;True;True;0.3414913;-9.442284;-0.4722812;99.02972;2cpd;99.46777;left;none;none;
101;0.245;0.3130169;right;True;True;0.328128;-10.20777;-0.4740949;98.95664;2cpd;99.4704;right;none;none;
